source,kanji,reading
JMDict,うぇーい系,ウェーイけい
JMDict,ウェイ系,ウェーイけい
JMDict,うぇい系,ウェーイけい
JMDict,うぇーい系,ウェイけい
JMDict,ウェーイ系,ウェイけい
JMDict,うぇい系,ウェイけい
JMDict,うぇーい系,うぇいけい
JMDict,ウェーイ系,うぇいけい
JMDict,ウェイ系,うぇいけい
JMDict,半纏木,ハンテンボク
JMDict,ＰＣＭ,ピー・シー・エム
JMDict,石鰌,イシドジョウ
JMDict,石泥鰌,イシドジョウ
JMDict,まな板ショウ,まないたショー
JMDict,生板ショー,まないたショー
JMDict,銀泥,ギンドロ
JMDict,花椒,ホワジャオ
JMDict,花椒,ホアジャオ
JMDict,石垣鯛,イシガキダイ
JMDict,ＰＰＰ,ピー・ピー・ピー
JMDict,烏帽子鯛,エボシダイ
JMDict,虚鯊,ウロハゼ
JMDict,洞鯊,ウロハゼ
JMDict,虚鯊,うろはぜ
JMDict,洞鯊,うろはぜ
JMDict,浦内笛鯛,ウラウチフエダイ
JMDict,海天狗,ウミテング
JMDict,海鱮,ウミタナゴ
JMDict,姥魚,ウバウオ
JMDict,並瓢虫,なみてんとう
JMDict,並天道,ナミテントウ
JMDict,並瓢虫,ナミテントウ
JMDict,薄葉剥,ウスバハギ
JMDict,薄葉剝,ウスバハギ
JMDict,ｐｉｎｇ,ピン
JMDict,ｐｉｎｇ,ピング
JMDict,受口石斑魚,ウケクチウグイ
JMDict,Ｆ１,エフワン
JMDict,得々,トクトク
JMDict,得得,トクトク
JMDict,親睨,オヤニラミ
JMDict,鬼達磨鰧,オニダルマオコゼ
JMDict,鬼達磨虎魚,オニダルマオコゼ
JMDict,白いたち,シロイタチ
JMDict,白イタチ,シロイタチ
JMDict,白鼬,シロイタチ
JMDict,勤皇家,きんのうか
JMDict,鬼金目,オニキンメ
JMDict,フーリェ変換,フーリエへんかん
JMDict,鬼鰧,オニオコゼ
JMDict,鬼虎魚,オニオコゼ
JMDict,浜鯛,ハマダイ
JMDict,ＦＴＴＣ,エフ・ティー・ティー・シー
JMDict,沖鱛,オキエソ
JMDict,ファイルＤＳＮ,ファイルディーエスエン
JMDict,大鱮,オオタナゴ
JMDict,狼魚,オオカミウオ
JMDict,河鰉,カワヒガイ
JMDict,伊勢化学工業,いせかがくこうぎょう
JMDict,川端諸子,カワバタモロコ
JMDict,伊勢物語,いせものがたり
JMDict,魳鰆,カマスサワラ
JMDict,かます鰆,カマスサワラ
JMDict,叺鰆,カマスサワラ
JMDict,梭子魚鰆,カマスサワラ
JMDict,鯰号,ナマズごう
JMDict,ナマズ号,なまずごう
JMDict,丸めんこ,まるメンコ
JMDict,丸面子,まるメンコ
JMDict,丸メンコ,まるめんこ
JMDict,冑魚,カブトウオ
JMDict,兜魚,カブトウオ
JMDict,伊丹市立美術館,いたみしりつびじゅつかん
JMDict,金平,カネヒラ
JMDict,鉄頭,カナガシラ
JMDict,火魚,カナガシラ
JMDict,金頭,カナガシラ
JMDict,鉄頭,かながしら
JMDict,マジェラン鮎並,マジェランアイナメ
JMDict,マジェラン鮎魚女,マジェランアイナメ
JMDict,銀鮒,ギンブナ
JMDict,深山樒,ミヤマシキミ
JMDict,金鮒,キンブナ
JMDict,額付き,がぐつき
JMDict,金時鯛,キントキダイ
